
timeStamp	dataStatus	dataStatus2	rx	x	x2	xD	xD2	ry	y	y2	yD	yD2	rpsi	psi	psi2	psiD	psiD2
99316.09807	1	1	-0.4241819812	0	0	0	0	-0.006671148962	0	0	0	0	0	0	0	0	0
99316.10808	1	1	-0.4241819812	-0.1866400729	-0.1866400729	-3.393455887	-3.393455887	-0.006671148962	-0.002935305561	-0.002935305561	-0.05336919229	-0.05336919229	0	0	0	0	0
99316.1181	1	1	-0.4241819812	-0.325093072	-0.325093072	-5.293791175	-5.293791175	-0.006671148962	-0.00511276859	-0.00511276859	-0.08325593983	-0.08325593983	0	0	-1.172104228	0	-18.62241867
99316.12811	0	1	-0.4241819812	-0.4225487798	-0.4216301041	-6.106917474	-6.086502457	-0.006671148962	-0.006645463454	-0.006631015356	-0.09604405179	-0.09572298294	0	0	-2.090929496	0	-30.26200133
99316.13813	1	1	-0.4241819812	-0.4836179546	-0.4836179546	-6.106917474	-6.106917474	-0.006671148962	-0.007605903972	-0.007605903972	-0.09604405179	-0.09604405179	0	0	-2.781619287	0	-36.4276628
99316.14814	1	1	-0.4241819812	-0.5185353009	-0.5185353009	-5.631429682	-5.631429682	-0.006671148962	-0.008155052283	-0.008155052283	-0.08856601162	-0.08856601162	0	0	-3.274978199	0	-38.47852507
99316.15815	1	1	-0.4241819812	-0.5333341368	-0.5333341368	-4.876603116	-4.876603116	-0.006671148962	-0.008387794934	-0.008387794934	-0.07669478492	-0.07669478492	0	0	-3.603851269	0	-37.59019107
99316.16817	1	1	-0.4198603018	-0.5340732192	-0.5340732192	-4.003385861	-4.003385861	-0.006671148962	-0.008399418551	-0.008399418551	-0.06296161699	-0.06296161699	0	0	-3.800523681	0	-34.74258872
99316.17818	1	1	-0.4198603018	-0.5238533938	-0.5238533938	-3.089682512	-3.089682512	-0.006671148962	-0.008268596097	-0.008268596097	-0.04913546012	-0.04913546012	0	0	-3.894973946	0	-30.72330626
99316.1882	1	1	-0.4198603018	-0.5089932582	-0.5089932582	-2.257737767	-2.257737767	-0.006671148962	-0.008057073954	-0.008057073954	-0.0363558829	-0.0363558829	0	0	-3.91374946	0	-26.14028616
99316.19821	1	1	-0.4198603018	-0.4923521348	-0.4923521348	-1.544674108	-1.544674108	-0.006671148962	-0.007810825783	-0.007810825783	-0.02526848283	-0.02526848283	0	0	-3.879579663	0	-21.44422103
99316.20822	1	1	-0.4155386224	-0.4759024692	-0.4759024692	-0.9647394371	-0.9647394371	-0.006671148962	-0.007562052807	-0.007562052807	-0.01615106816	-0.01615106816	0	0	-3.811166	0	-16.95020048
99316.21824	1	1	-0.4155386224	-0.4589897708	-0.4589897708	-0.4818286579	-0.4818286579	-0.006671148962	-0.007331565794	-0.007331565794	-0.009023837321	-0.009023837321	0	0	-3.723321613	0	-12.86147514
99316.22825	1	1	-0.4155386224	-0.444689552	-0.444689552	-0.134219467	-0.134219467	-0.006671148962	-0.007131220759	-0.007131220759	-0.003740502602	-0.003740502602	0	0	-3.626784119	0	-9.284251143
99316.23827	1	1	-0.4112169431	-0.4332053376	-0.4332053376	0.09898797207	0.09898797207	-0.006671148962	-0.006966194193	-0.006966194193	-5.992818028e-05	-5.992818028e-05	0	0	-3.527247558	0	-6.227728057
99316.24828	1	1	-0.4112169431	-0.4225405642	-0.4225405642	0.2748951301	0.2748951301	-0.006671148962	-0.006836973572	-0.006836973572	0.002300433698	0.002300433698	0	0	-4.623144003	0	-22.64989288
99316.2583	0	1	-0.4112169431	-0.413516	-0.4148092196	0.3942223126	0.3654841003	-0.006671148962	-0.006715857726	-0.006741006406	0.00418589016	0.003627030597	0	0	-5.4689697	0	-32.48977067
99316.26831	0	0	-0.4112169431	-0.4101653167	-0.4101653167	0.3810769832	0.3810769832	-0.006671148962	-0.006672972874	-0.006672972874	0.004208689062	0.004208689062	0	0	-6.15100084	0	-38.3314033
